	а	б	в	г	д	е	ё	ж	з	и	й	к	л	м	н	о	п	р	с	т	у	ф	х	ц	ч	ш	щ	ъ	ы	ь	э	ю	я
INSERT		10		9			10	10	10		10										10	10	10				10	10			10	10	
DELETE		0.5		0.5			0.5	0.5	0.5		0.5										0.5	0.5	0.5				0.5	0.5			0.5	0.5	
а	0	10		10			10	10	10		10										10	10	10				10	10			10	10	
б	0.5	0	0.5	10	0.5	0.5	10	10	10	0.5	10	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	10	10	10	0.5	0.5	0.5	10	10	0.5	0.5	10	10	0.5
в		10	0	10			10	10	10		10										10	10	10				10	10			10	10	
г	0.5	10	0.5	0	0.5	0.5	10	10	10	0.5	10	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	10	10	10	0.5	0.5	0.5	10	10	0.5	0.5	10	10	0.5
д		10		10	0		10	10	10		10										10	10	10				10	10			10	10	
е		10		10		0	10	10	10		10										10	10	10				10	10			10	10	
ё	0.5	10	0.5	10	0.5	0.5	0	10	10	0.5	10	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	10	10	10	0.5	0.5	0.5	10	10	0.5	0.5	10	10	0.5
ж	0.5	10	0.5	10	0.5	0.5	10	0	10	0.5	10	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	10	10	10	0.5	0.5	0.5	10	10	0.5	0.5	10	10	0.5
з	0.5	10	0.5	10	0.5	0.5	10	10	0	0.5	10	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	10	10	10	0.5	0.5	0.5	10	10	0.5	0.5	10	10	0.5
и		10		10			10	10	10	0	10										10	10	10				10	10			10	10	
й	0.5	10	0.5	10	0.5	0.5	10	10	10	0.5	0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	10	10	10	0.5	0.5	0.5	10	10	0.5	0.5	10	10	0.5
к		10		10			10	10	10		10	0									10	10	10				10	10			10	10	
л		10		10			10	10	10		10		0								10	10	10				10	10			10	10	
м		10		10			10	10	10		10			0							10	10	10				10	10			10	10	
н		10		10			10	10	10		10				0						10	10	10				10	10			10	10	
о		10		10			10	10	10		10					0					10	10	10				10	10			10	10	
п		10		10			10	10	10		10						0				10	10	10				10	10			10	10	
р		10		10			10	10	10		10							0			10	10	10				10	10			10	10	
с		10		10			10	10	10		10								0		10	10	10				10	10			10	10	
т		10		10			10	10	10		10									0	10	10	10				10	10			10	10	
у	0.5	10	0.5	10	0.5	0.5	10	10	10	0.5	10	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0	10	10	0.5	0.5	0.5	10	10	0.5	0.5	10	10	0.5
ф	0.5	10	0.5	10	0.5	0.5	10	10	10	0.5	10	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	10	0	10	0.5	0.5	0.5	10	10	0.5	0.5	10	10	0.5
х	0.5	10	0.5	10	0.5	0.5	10	10	10	0.5	10	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	10	10	0	0.5	0.5	0.5	10	10	0.5	0.5	10	10	0.5
ц		10		10			10	10	10		10										10	10	10	0			10	10			10	10	
ч		10		10			10	10	10		10										10	10	10		0		10	10			10	10	
ш		10		10			10	10	10		10										10	10	10			0	10	10			10	10	
щ	0.5	10	0.5	10	0.5	0.5	10	10	10		10	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	10	10	10	0.5	0.5	0.5	0	10	0.5	0.5	10	10	0.5
ъ	0.5	10	0.5	10	0.5	0.5	10	10	10		10	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	10	10	10	0.5	0.5	0.5	10	0	0.5	0.5	10	10	0.5
ы		10		10			10	10	10		10										10	10	10				10	10	0		10	10	
ь		10		10			10	10	10		10										10	10	10				10	10		0	10	10	
э	0.5	10	0.5	10	0.5	0.5	10	10	10		10	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	10	10	10	0.5	0.5	0.5	10	10	0.5	0.5	0	10	0.5
ю	0.5	10	0.5	10	0.5	0.5	10	10	10		10	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	10	10	10	0.5	0.5	0.5	10	10	0.5	0.5	10	0	0.5
я		10		10			10	10	10		10										10	10	10				10	10			10	10	0
